open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1610424000000,35019.09,36693.44,34543.79,36452.84,64194.518,1610438399999,2292037204.5453,640650,33294.523,1188673889.50459,0
1610438400000,36447.1,36550.0,34789.92,35451.0,70760.384,1610452799999,2522354645.9113,697180,33899.511,1208879729.08244,0
1610452800000,35452.47,35720.0,32600.0,33861.95,117197.317,1610467199999,3982796516.11159,1058951,56675.683,1927077033.15203,0
1610467200000,33861.94,35584.79,33840.77,34722.18,65893.912,1610481599999,2293728430.67812,632185,32683.248,1137835146.53679,0
1610481600000,34722.18,35075.21,33300.0,34056.9,69495.18,1610495999999,2367169321.00247,659913,35716.157,1217091151.23065,0
1610496000000,34065.53,34430.0,32420.0,33842.49,90756.065,1610510399999,3019162238.71656,854138,44299.607,1474484699.81717,0
1610510400000,33843.03,35200.0,32827.5,35019.26,67453.618,1610524799999,2280784973.17909,608828,35309.765,1194930393.57241,0
1610524800000,35019.26,35325.39,34212.39,34428.04,66588.972,1610539199999,2313988902.9307,595598,32519.942,1130650204.53749,0
1610539200000,34431.81,35188.45,34035.0,34711.76,56667.082,1610553599999,1958327816.13843,538244,27133.504,938006703.89153,0
1610553600000,34711.35,36235.59,34421.39,36035.43,49534.865,1610567999999,1752132754.22442,506520,25981.591,919201113.50067,0
1610568000000,36035.42,37880.0,35762.22,37421.07,67187.486,1610582399999,2478694929.86237,698039,34133.275,1259721750.36837,0
1610582400000,37416.34,38273.36,37051.0,37103.0,48347.482,1610596799999,1819044160.74915,516545,24382.913,917619512.27318,0
1610596800000,37107.37,38665.0,36764.33,38240.0,52370.868,1610611199999,1980904313.88039,511192,26564.131,1005128138.38121,0
1610611200000,38235.8,38850.0,37949.99,38415.39,46348.715,1610625599999,1778638721.20787,503132,23223.091,891399360.82425,0
1610625600000,38415.38,40189.39,37760.0,39580.96,92618.515,1610639999999,3628687994.06506,846289,47458.413,1860869306.58293,0
1610640000000,39580.96,40061.83,39241.0,39925.5,50943.562,1610654399999,2019942727.6344,537659,24772.37,982616822.58039,0
1610654400000,39923.48,39999.0,38385.0,39163.31,62513.244,1610668799999,2436535805.86622,586696,29442.828,1148133533.55842,0
1610668800000,39163.31,39790.0,38500.0,38749.01,39127.887,1610683199999,1535550702.04924,450960,18901.263,741914036.63421,0
1610683200000,38747.7,38899.0,37630.0,38510.21,55242.035,1610697599999,2114100570.1221,535735,26396.534,1010740515.60863,0
1610697600000,38510.21,38850.0,37970.0,38168.33,40390.525,1610711999999,1552075323.31232,439541,19929.405,766086656.572,0
1610712000000,38163.34,38248.98,35350.0,35691.31,103778.81,1610726399999,3836841745.90771,961856,49367.437,1826753168.0865,0
1610726400000,35692.45,36470.0,34478.0,35255.64,140928.716,1610740799999,5019723291.65461,1232157,70165.226,2500979057.53551,0
1610740800000,35255.38,36930.0,34820.0,36755.24,58142.14,1610755199999,2090238493.30597,592392,30925.537,1112255732.68657,0
1610755200000,36755.25,37687.0,36030.4,36564.81,52060.211,1610769599999,1921026263.30234,489815,25271.468,933164752.4237,0
1610769600000,36566.05,37007.97,35528.72,36599.68,42734.791,1610783999999,1550891732.35225,445150,21577.914,783861300.28631,0
1610784000000,36599.7,38000.0,36405.59,37750.0,52517.043,1610798399999,1965185416.76758,527437,26625.368,996497345.78966,0
1610798400000,37750.0,37950.7,36707.91,37513.79,58119.136,1610812799999,2169991600.37804,579256,28272.169,1056020178.27132,0
1610812800000,37513.79,37793.43,36217.97,36420.5,49531.988,1610827199999,1828341610.45158,501986,22777.973,841372689.19933,0
1610827200000,36421.89,36855.75,35366.0,36025.66,46139.308,1610841599999,1668218066.55661,467413,21984.489,795403313.76496,0
1610841600000,36025.65,36789.0,35563.97,36221.21,34160.777,1610855999999,1237938154.88897,360063,17433.123,632048843.35067,0
1610856000000,36221.21,36431.22,34522.88,34787.55,51564.865,1610870399999,1825261333.11178,527162,23894.588,846209379.72951,0
1610870400000,34787.76,35398.0,33863.5,35270.41,73668.71,1610884799999,2554588959.61556,724886,36780.242,1276388760.81903,0
1610884800000,35270.82,36000.0,34710.1,35749.53,53860.885,1610899199999,1900853532.30993,499431,27171.28,959649062.2274,0
1610899200000,35744.9,36196.0,35561.0,35657.41,35568.074,1610913599999,1276302275.41144,348373,18048.905,647899589.44528,0
1610913600000,35657.42,36898.0,35590.87,35869.83,38862.818,1610927999999,1411058189.68008,372639,19421.08,705126542.36153,0
1610928000000,35875.72,36260.0,34875.0,35148.25,34971.262,1610942399999,1247457187.04209,367098,16603.851,592504656.38551,0
1610942400000,35148.25,36298.0,34808.47,36139.12,37278.176,1610956799999,1322745553.81258,401893,19610.974,696023483.85036,0
1610956800000,36139.11,36711.0,35831.8,36499.32,43684.731,1610971199999,1586140616.14908,436221,21530.038,782241202.39519,0
1610971200000,36495.53,37547.94,36099.63,36448.42,67399.472,1610985599999,2482941276.61737,592519,34004.564,1253154110.33266,0
1610985600000,36448.41,36612.95,35436.27,35988.74,44306.967,1610999999999,1591926573.05941,419513,22346.23,803009322.94386,0
1611000000000,35988.75,36835.84,35850.0,36686.86,25746.095,1611014399999,935996913.0213,292349,12833.621,466360449.42259,0
1611014400000,36690.0,37420.0,36432.31,36555.99,40085.49,1611028799999,1478826852.26315,391416,19682.947,726543335.15579,0
1611028800000,36556.0,37304.34,36210.0,37225.61,30030.45,1611043199999,1100333751.4298,306419,15952.33,584605161.51024,0
1611043200000,37226.0,37661.36,36802.01,37387.97,48302.558,1611057599999,1800328117.65976,442793,22886.645,853522186.75116,0
1611057600000,37387.98,37589.06,36680.0,37376.48,41909.756,1611071999999,1555905533.4012,409171,21238.407,788710225.59072,0
1611072000000,37376.48,37961.0,36120.28,36346.35,59308.305,1611086399999,2199832903.3257,551879,28745.888,1067440643.1928,0
